Code,X,Y
1900,0.530849776,0.066109933
1900.08333,0.528709593,0.060792222
1900.16666,0.524975259,0.062523342
1900.24999,0.519143455,0.058909507
1900.33332,0.548053391,0.062177856
1900.41665,0.574321133,0.060349842
1900.49998,0.590572542,0.05525673
1900.58331,0.57308408,0.056378564
1900.66664,0.613744678,0.059494655
1900.74997,0.571425246,0.060481198
1900.8333,0.504243997,0.05290527
1900.91663,0.438001213,0.044318
1901,0.43067523,0.043928673
1901.08333,0.39691675,0.043037492
1901.16666,0.363273812,0.038352885
1901.24999,0.275964327,0.029901936
1901.33332,0.329237669,0.037128806
1901.41665,0.236103419,0.029649477
1901.49998,0.322142401,0.036102051
1901.58331,0.322414314,0.029860462
1901.66664,0.339817827,0.024807686
1901.74997,0.354976387,0.026476976
1901.8333,0.346877383,0.02831849
1901.91663,0.374587273,0.03040768
1902,0.345059804,0.028349169
1902.08333,0.33655304,0.026888207
1902.16666,0.335641981,0.029784651
1902.24999,0.313943916,0.029757199
1902.33332,0.328945831,0.030145083
1902.41665,0.34611094,0.030908642
1902.49998,0.32362709,0.02903447
1902.58331,0.286738518,0.028914758
1902.66664,0.296689182,0.029364031
1902.74997,0.397181512,0.032611575
1902.8333,0.404355224,0.035638448
1902.91663,0.439758461,0.034457019
1903,0.402676999,0.028879344
1903.08333,0.410030514,0.025639857
1903.16666,0.418004904,0.027426626
1903.24999,0.461292878,0.03124652
1903.33332,0.459866385,0.030206585
1903.41665,0.52131545,0.030504671
1903.49998,0.570112183,0.036223844
1903.58331,0.604431424,0.041849159
1903.66664,0.642758295,0.0449425
1903.74997,0.665022416,0.044654414
1903.8333,0.652926967,0.041567228
1903.91663,0.612208874,0.036592292
1904,0.620540048,0.038686943
1904.08333,0.672012108,0.042681176
1904.16666,0.664425622,0.041051501
1904.24999,0.633754376,0.036164233
1904.33332,0.63340012,0.038881258
1904.41665,0.63370726,0.038214134
1904.49998,0.598147958,0.028473355
1904.58331,0.577920298,0.025166187
1904.66664,0.54899489,0.020885696
1904.74997,0.497193959,0.015239669
1904.8333,0.469648492,0.010039876
1904.91663,0.461794219,0.004776124
1905,0.445409363,0.004466696
1905.08333,0.404791335,-0.00121758
1905.16666,0.37043779,-0.001359422
1905.24999,0.391114079,0.007040848
1905.33332,0.436242407,0.009802684
1905.41665,0.43377508,0.009670182
